r	r2	vel	e_vel
25.0	5.68	235.5	17.8
30.0	6.81	242.9	0.8
35.0	7.95	251.1	0.7
40.0	9.08	262.0	2.1
45.0	10.22	258.9	6.9
50.0	11.35	255.1	5.7
55.0	12.49	251.8	17.1
60.0	13.62	252.1	7.4
65.0	14.76	251.0	18.6
70.0	15.89	245.5	28.8
75.0	17.03	232.8	1.0
80.0	18.16	232.0	14.2
85.0	19.30	235.7	4.6
90.0	20.43	229.3	13.8
94.5	21.45	227.6	28.8
99.0	22.47	226.0	28.8
103.5	23.50	225.7	28.8
108.0	24.52	227.5	28.8
112.5	25.54	227.4	28.8
117.0	26.56	225.6	28.8
121.5	27.58	224.4	28.8
126.0	28.60	222.3	28.8
130.5	29.62	222.1	28.8
135.0	30.65	224.9	28.8
139.5	31.67	228.1	28.8
144.0	32.69	231.1	28.8
148.5	33.71	230.4	28.8
153.0	34.73	226.8	28.8
