	PARAMETER	UNITS	95%(-)	68%(-)	FIT	68%(+)	95%(+)
BULGE	a	kpc	0.1809682568247648	0.08420392617799588	1.46667221384808	0.00031923238532804987	0.06960632281399248
---	b	kpc	0.30074670020577854	0.1470186376685726	0.7618468569400558	0.049343845391829344	0.3669679093482574
---	M	M_Sun	10080165.859333841	1198223.1330149826	12443054.105662491	1960545.8875248805	8774334.938285485
THIN DISK	a	kpc	0.29453117856205546	0.1313697584440301	2.5180221571034087	0.0010161269683912622	0.06427754674756958
---	b	kpc	0.005078332593093699	0.003767291846524164	0.005495705175193839	6.538383007930783e-05	0.00405358712588226
---	M	M_Sun	661944392.2886114	44494076.15124512	7131078805.759334	202177795.34901142	668192179.9410353
NFW HALO	a	kpc	2.206532030370415	0.2808545802360527	16.579527949636024	0.6112336041933837	3.8727407625176014
---	M_0	M_Sun	42856501566.101654	7941290684.243469	257425689616.36627	12234210475.54721	99177957504.35156
---	rho_0	M_Sun/kpc^3	1199011.530762922	269190.8282698868	4494956.475171956	100223.61256991606	1255675.6606248887
---	X	---	1.4133905142010779	0.2945079354627431	11.965825974084161	0.10681544459359316	1.2445510858131783
---	M_h	M_Sun	52043733586.74512	12057672344.498474	422034736770.76245	15066485574.071472	122364799860.03491
CRITICAL OVERDENSITY	101.14287921960845	---	---	---	---	---	---
CHI^2	1.5037480384721578	---	---	---	---	---	---
