	PARAMETER	UNITS	95%(-)	68%(-)	FIT	68%(+)	95%(+)
BULGE	a	kpc	1.2781999953450143	0.08161658531244598	9.267267101604833	0.7480270936893323	1.69474455806699
---	b	kpc	5.309209481799702	1.2762391083391726	8.240398346157289	0.18591519598003714	2.117042056658727
---	M	M_Sun	49528487.40633929	12107066.718500614	624419050.1323605	26129506.634661436	138430987.7496711
THIN DISK	a	kpc	0.5504144896886467	0.18194308956647243	2.12816248609351	0.03702831327244116	0.1418775647853603
---	b	kpc	0.2026104774187757	0.027143905788716144	0.24277267987926598	0.07770154839791116	0.3336426883977942
---	M	M_Sun	1839931859.0076284	871105136.5739565	7118726750.524559	17840747.43858719	518647596.6738796
NFW HALO	a	kpc	2.220132034582038	0.648480611397737	16.55100080445351	0.43385556019303806	1.8134712814669705
---	M_0	M_Sun	39588426279.880005	10784432991.84433	257637313918.4399	13094009773.059906	50221389149.238434
---	rho_0	M_Sun/kpc^3	617463.6143337032	184334.17989747133	4521954.0532596465	353018.5207741931	1550045.6857605278
---	X	---	0.5352122184104982	0.15472871326558568	9.084530446940187	0.285668988127151	1.1677328190592036
---	M_h	M_Sun	37843311864.2052	10725027615.986145	363310972934.4336	16091492276.42212	59663066681.09003
