r	vel	e_vel
0.28	37.03	1
0.46	46.74	1
0.66	52.64	1
0.85	54.33	1
1.12	57.7	1
1.27	65.72	1
1.48	69.1	1
1.75	74.16	1
1.9	77.11	1
2.23	81.33	1
2.32	85.97	1
2.77	89.77	1
3.13	93.99	1
3.58	98.21	1
3.67	100.7	1
4.19	106.2	1
4.67	109.2	1
5.15	108.3	1
5.63	106.7	1
6.11	107.5	1
6.66	109.5	1
7.14	109.6	1
7.56	110.5	1
8.07	112.1	1
8.55	113.8	1
9.03	114.7	1
9.55	115.5	1
10.06	118.5	1
10.54	120.2	1
11.02	121	1
11.47	117.6	1
11.98	118.5	1
12.5	116.4	1
12.98	115.1	1
13.46	117.2	1
13.97	118.1	1
14.45	121	1
14.93	121.5	1
15.45	119.3	1
15.9	121.5	1
16.41	125.7	1
16.89	126.1	1
17.4	126.9	1
17.85	125.7	1
18.37	124	1
18.85	126.5	1
19.33	120.2	1
19.81	121.5	1
20.32	135.8	1
20.83	127.8	1
21.29	128.6	1
21.77	119.8	1
22.25	111.8	1
22.73	118.9	1
